(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
19:13:44.122, 	1, 	1, 	20.4976, 	14.2875, 	0, 	8, 	1.216, 	(1.07466,-0.558908);(-0.910672,1.34272);(-1.05467,-1.61395);(1.6209,-0.423576);
19:13:44.137, 	1, 	1, 	21.7093, 	11.4285, 	0, 	8, 	0.912, 	(-0.944187,1.07966);(0.201387,-1.85445);(1.36002,0.686599);(-0.979338,0.902953);
19:13:44.164, 	0, 	2, 	22.2557, 	22.5243, 	0, 	8, 	0.912, 	(0.277854,-0.100573);
19:13:44.178, 	1, 	1, 	20.3186, 	16.9038, 	0, 	8, 	0.608, 	(1.39208,-0.034876);(-1.29398,1.02345);(-0.377355,-0.957573);(0.911588,0.00722226);
19:13:44.197, 	1, 	1, 	20.799, 	16.1396, 	0, 	8, 	0.304, 	(0.111887,-1.26453);(0.820464,1.26213);(-0.751017,0.244495);(0.0615163,-0.68459);
19:13:44.224, 	1, 	2, 	21.0169, 	26.1512, 	1, 	8, 	0.608, 	(-0.502097,0.59562);
19:13:44.238, 	1, 	1, 	22.0143, 	15.8708, 	0, 	8, 	0.608, 	(1.40379,-0.121963);(-1.35302,1.19825);(-0.55275,-1.16412);(1.12135,-0.0639351);
19:13:44.258, 	1, 	1, 	20.908, 	15.9189, 	0, 	8, 	0.608, 	(-1.07796,0.649449);(0.771574,-1.75527);(1.38408,1.28946);(-1.44061,0.775982);
19:13:44.285, 	0, 	2, 	20.5067, 	18.9417, 	0, 	8, 	0.608, 	(-0.165369,0.0230856);
19:13:44.298, 	1, 	1, 	21.5159, 	16.7999, 	0, 	12, 	0.304, 	(-1.04651,-0.133858);(0.996369,-0.756023);(0.186189,0.334134);(-0.372685,-0.00410994);
19:13:44.325, 	0, 	2, 	22.3962, 	17.6839, 	0, 	12, 	0.304, 	(0.0480462,-0.20316);
19:13:44.345, 	1, 	2, 	22.5351, 	17.1122, 	1, 	16, 	0.608, 	(-0.00642142,-0.210381);
19:13:44.359, 	1, 	1, 	22.6556, 	17.5982, 	0, 	16, 	0.608, 	(-0.126688,1.36503);(-0.839697,-1.57627);(1.69817,-0.452123);(-0.0570675,1.5445);
19:13:44.386, 	1, 	2, 	22.417, 	25.4015, 	1, 	16, 	0.912, 	(0.0220799,-0.775976);
19:13:44.406, 	1, 	2, 	22.4731, 	24.8084, 	1, 	16, 	1.216, 	(0.282601,0.23174);
19:13:44.418, 	1, 	1, 	22.5175, 	14.7127, 	0, 	16, 	0.912, 	(0.122122,1.26371);(-1.19274,-1.34432);(1.61574,-0.885647);(0.400871,1.58515);
19:13:44.446, 	1, 	2, 	20.2693, 	26.1682, 	1, 	16, 	1.216, 	(0.00361896,-0.726945);
19:13:44.466, 	1, 	2, 	22.9895, 	25.384, 	1, 	16, 	1.52, 	(-0.345421,0.263941);
19:13:44.479, 	1, 	1, 	20.9953, 	16.2855, 	0, 	16, 	1.52, 	(0.181228,-1.2126);(0.781895,1.55691);(-1.85031,0.458765);(-0.0156591,-1.71392);
19:13:44.507, 	1, 	2, 	19.8372, 	25.319, 	1, 	16, 	1.824, 	(0.727037,-0.333665);
19:13:44.527, 	1, 	2, 	21.2417, 	25.9323, 	1, 	16, 	2.128, 	(-0.310142,0.74363);
19:13:44.539, 	1, 	1, 	22.7299, 	16.8704, 	0, 	12, 	1.824, 	(1.03209,0.220586);(-0.999169,0.811394);(-0.207505,-0.273037);(0.329343,-0.0543261);
19:13:44.567, 	1, 	2, 	23.4682, 	25.0285, 	1, 	12, 	2.128, 	(-0.307655,-0.660286);
19:13:44.587, 	1, 	2, 	20.2188, 	25.5313, 	1, 	12, 	2.128, 	(-0.808525,-0.141548);
19:13:44.599, 	1, 	1, 	23.3493, 	22.2395, 	0, 	12, 	1.824, 	(-1.40752,-0.0526014);(1.50442,-1.16642);(0.793583,1.48701);(-1.44786,0.446774);
19:13:44.627, 	1, 	2, 	22.7412, 	25.3634, 	1, 	12, 	2.128, 	(-0.166244,-0.749326);
19:13:44.641, 	1, 	1, 	22.7339, 	17.17, 	0, 	12, 	1.824, 	(1.30659,-0.195112);(-1.25161,1.31536);(-1.11249,-1.52481);(1.53003,-0.76889);
19:13:44.660, 	1, 	1, 	22.9934, 	16.6818, 	0, 	8, 	1.52, 	(-1.48803,1.296);(-0.135178,-1.37314);(1.27684,1.05419);(-0.346369,0.977044);
19:13:44.688, 	1, 	2, 	23.4867, 	25.7567, 	1, 	8, 	1.824, 	(-0.227075,-0.738222);
19:13:44.702, 	1, 	1, 	23.2932, 	18.0604, 	0, 	8, 	1.52, 	(-0.868013,1.23604);(-0.483806,-1.82683);(1.20927,-0.150668);(-0.0458671,1.16401);
19:13:44.720, 	1, 	1, 	22.6841, 	18.1275, 	0, 	8, 	1.216, 	(0.976653,0.930839);(-1.78038,-0.150167);(0.488841,-1.89824);(1.69073,0.663756);
19:13:44.748, 	1, 	2, 	23.7175, 	25.1367, 	1, 	8, 	1.52, 	(0.45238,0.079792);
19:13:44.762, 	1, 	1, 	24.7748, 	22.1366, 	0, 	8, 	1.216, 	(-1.12919,0.0849375);(0.702532,-1.1127);(0.323051,0.203592);(-0.2936,0.260027);
19:13:44.780, 	1, 	1, 	21.4541, 	16.3012, 	0, 	4, 	0.912, 	(-0.0752886,-1.18973);(0.958453,1.27718);(-1.79809,0.902822);(-0.698702,-1.68058);
19:13:44.809, 	1, 	2, 	24.9702, 	24.8567, 	1, 	4, 	1.216, 	(0.275248,-0.355835);
19:13:44.822, 	1, 	1, 	24.2449, 	18.9029, 	0, 	-1.249e-14, 	0.912, 	(1.30572,0.698709);(-1.88158,0.7324);(-0.334456,-1.58608);(1.49873,-0.223544);
19:13:44.841, 	1, 	1, 	24.2314, 	19.6493, 	0, 	-1.249e-14, 	0.912, 	(0.736118,-1.31268);(0.651104,1.88052);(-1.6308,0.324154);(-0.189041,-1.52718);
19:13:44.869, 	1, 	2, 	18.668, 	23.794, 	1, 	-1.249e-14, 	1.216, 	(0.825729,0.130467);
19:13:44.883, 	1, 	1, 	24.6736, 	18.4223, 	0, 	-1.249e-14, 	0.912, 	(-1.17003,0.838255);(0.0218135,-1.70257);(0.905671,0.0546308);(-0.135807,0.865342);
19:13:44.910, 	1, 	2, 	25.6444, 	25.9839, 	1, 	-1.249e-14, 	1.216, 	(0.169077,-0.590644);
19:13:44.930, 	1, 	2, 	23.7157, 	26.4471, 	1, 	-1.249e-14, 	1.52, 	(-0.104371,-0.826564);
19:13:44.941, 	1, 	1, 	22.4183, 	20.2909, 	0, 	-1.249e-14, 	1.216, 	(-0.380273,1.24687);(-0.736739,-1.55486);(1.95489,-0.613931);(0.573731,1.75729);
19:13:44.970, 	1, 	2, 	19.9815, 	26.1399, 	1, 	-1.249e-14, 	1.52, 	(0.507197,0.705645);
19:13:44.990, 	1, 	2, 	22.4908, 	25.9289, 	1, 	-1.249e-14, 	1.824, 	(0.85887,-0.115933);
