(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
19:24:40.225, 	0, 	2, 	17.1497, 	12.3978, 	1, 	44, 	1.52, 	(0.00273692,-0.0185403);
19:24:40.244, 	1, 	1, 	16.3253, 	16.0464, 	0, 	44, 	1.52, 	(-0.0597598,0.214381);(0.526363,0.0462935);(-0.343906,0.113741);(0.537981,-0.379346);
19:24:40.266, 	1, 	2, 	16.5469, 	14.8127, 	1, 	40, 	1.824, 	(0.103752,0.0211262);
19:24:40.286, 	1, 	2, 	17.5062, 	17.0961, 	1, 	36, 	2.128, 	(0.0152964,0.0201346);
19:24:40.306, 	1, 	2, 	16.6055, 	17.3559, 	1, 	32, 	2.432, 	(-0.0792557,0.0798606);
19:24:40.326, 	1, 	2, 	18.0356, 	18.155, 	1, 	28, 	2.432, 	(0.0704119,-0.14643);
19:24:40.346, 	1, 	2, 	16.6529, 	12.9642, 	1, 	28, 	2.432, 	(0.0325453,0.106271);
19:24:40.366, 	0, 	2, 	16.019, 	9.47772, 	1, 	28, 	2.432, 	(0.0385166,0.0383797);
19:24:40.387, 	0, 	2, 	16.9859, 	10.8604, 	0, 	32, 	2.128, 	(0.00335349,-0.0611632);
19:24:40.405, 	1, 	1, 	20.2363, 	18.1417, 	0, 	32, 	1.52, 	(0.00778716,-0.562318);(-0.111077,-0.175602);(-0.0525287,-0.298892);(-0.190182,0.0141341);
19:24:40.427, 	1, 	2, 	20.1926, 	17.4233, 	1, 	28, 	1.824, 	(0.12764,-0.0408739);
19:24:40.447, 	1, 	2, 	16.4112, 	15.0155, 	1, 	24, 	2.128, 	(0.0984673,0.0183624);
19:24:40.469, 	0, 	2, 	15.7261, 	13.9337, 	1, 	24, 	2.128, 	(0.0480086,0.0691725);
19:24:40.487, 	0, 	2, 	17.0834, 	14.1905, 	0, 	28, 	1.824, 	(0.0697627,0.0145993);
19:24:40.505, 	1, 	1, 	20.9561, 	20.8896, 	0, 	28, 	1.216, 	(0.224464,0.496345);(0.744179,-0.0806634);(0.128841,0.363042);(0.526287,-0.816523);
19:24:40.525, 	1, 	1, 	20.56, 	20.0184, 	0, 	28, 	0.912, 	(-0.0159146,-0.0017033);(0.611163,-0.806756);(-0.275618,-0.296128);(-0.269227,-0.409314);
19:24:40.549, 	1, 	2, 	20.2668, 	19.7648, 	1, 	24, 	0.912, 	(0.0367583,0.0656993);
19:24:40.568, 	1, 	2, 	17.8436, 	20.3764, 	1, 	20, 	1.216, 	(-0.0871912,0.249802);
19:24:40.588, 	1, 	2, 	25.1742, 	16.3749, 	1, 	20, 	1.52, 	(-0.07576,-0.0884723);
19:24:40.609, 	0, 	2, 	21.8246, 	10.3064, 	1, 	20, 	1.52, 	(-0.0623298,0.0165969);
19:24:40.628, 	1, 	2, 	23.7375, 	18.5047, 	1, 	24, 	1.52, 	(0.113575,0.105746);
19:24:40.645, 	1, 	1, 	26.5927, 	21.849, 	0, 	24, 	1.216, 	(1.03103,-0.0609767);(0.716937,-0.162141);(0.992822,-0.16163);(0.105198,-0.946852);
19:24:40.669, 	0, 	2, 	26.6744, 	20.8454, 	0, 	24, 	1.216, 	(0.0520482,0.181915);
19:24:40.689, 	1, 	2, 	24.8461, 	18.5723, 	1, 	28, 	1.52, 	(-0.0215297,0.133117);
19:24:40.706, 	1, 	1, 	27.2876, 	20.9358, 	0, 	28, 	1.52, 	(0.572999,0.861835);(0.330926,0.762456);(0.526525,0.33076);(0.507166,-0.213162);
19:24:40.730, 	0, 	2, 	22.5586, 	19.8968, 	0, 	28, 	1.52, 	(0.205413,-0.158445);
19:24:40.749, 	1, 	2, 	27.1001, 	21.2911, 	1, 	28, 	1.52, 	(-0.156489,-0.144221);
19:24:40.766, 	1, 	1, 	26.2035, 	20.9016, 	0, 	28, 	1.216, 	(0.513281,1.2157);(0.112114,0.934155);(0.885879,1.28316);(1.4656,-0.338058);
19:24:40.790, 	1, 	2, 	29.7703, 	18.0004, 	1, 	28, 	1.216, 	(0.0756809,0.105338);
19:24:40.810, 	1, 	2, 	22.1867, 	22.1063, 	1, 	28, 	1.52, 	(-0.210402,-0.345956);
