slot,id,beam,CRC,SNR
0,101,3,1,39.1466
0,101,3,1,40.5836
0,101,3,1,39.5104
0,101,3,1,40.3957
0,101,3,1,39.7104
0,101,3,1,39.4208
0,101,3,1,41.1308
0,101,3,1,38.0232
0,101,3,1,39.5820
0,101,3,1,40.5060
0,101,3,1,39.7514
0,101,3,1,39.0410
0,101,3,1,40.4131
0,101,3,1,38.7350
0,101,3,1,39.3587
0,101,3,1,39.4650
0,101,3,1,39.6525
0,101,3,1,39.2215
0,101,3,1,39.4087
0,101,3,1,39.4247
0,101,3,1,38.5399
0,101,3,1,39.5501
0,101,3,1,40.0944
0,101,3,1,38.6705
0,101,3,1,38.9015
0,101,3,1,39.9976
0,101,3,0,40.1542
0,101,3,1,39.2446
0,101,3,1,39.5214
0,101,3,1,39.8924
0,101,3,1,39.0846
0,101,3,1,39.8520
0,101,3,1,39.6435
0,101,3,0,40.0483
0,101,3,1,39.2640
0,101,3,1,39.4409
0,101,3,1,39.4620
0,101,3,1,40.1763
0,101,3,1,40.8413
0,101,3,1,39.8285
0,101,3,1,39.4845
0,101,3,1,40.3358
0,101,3,1,39.9314
0,101,3,1,40.2137
0,101,3,1,38.7319
0,101,4,1,43.4889
0,101,4,1,41.6675
0,101,4,1,41.6841
0,101,4,1,41.8961
0,101,4,1,42.6390
0,101,4,1,40.8343
0,101,4,1,42.6095
0,101,4,1,41.8889
0,101,4,1,42.7651
0,101,4,1,40.8406
0,101,4,1,41.2977
0,101,4,1,42.9555
0,101,4,1,41.2551
0,101,4,1,42.3350
0,101,4,1,42.0139
0,101,4,1,42.0627
0,101,4,1,42.2108
0,101,4,1,42.1981
0,101,4,1,42.5040
0,101,4,1,41.7573
0,101,4,1,41.9854
0,101,4,1,40.8747
0,101,4,1,42.7818
0,101,4,1,41.1427
0,101,4,1,41.6801
0,101,4,1,43.4876
0,101,4,1,41.2776
0,101,4,1,41.0994
0,101,4,1,43.1467
0,101,4,1,40.8607
0,101,4,1,42.3120
0,101,4,1,43.1717
0,101,4,1,41.4449
0,101,4,1,42.5866
0,101,4,1,41.4555
0,101,4,1,40.8943
0,101,4,1,42.0485
0,101,4,1,43.9170
0,101,4,1,41.7697
0,101,4,1,41.8449
0,101,4,1,41.9630
0,101,4,1,40.8283
0,101,4,1,42.0873
0,101,4,1,43.0001
0,101,4,1,41.6834
0,101,4,1,41.1287
0,101,4,1,43.6576
0,101,4,1,42.8416
0,101,4,1,41.8974
0,101,4,1,42.6556
0,101,5,1,42.4740
0,101,5,1,42.5806
0,101,5,1,41.6603
0,101,5,1,41.7388
0,101,5,1,42.1031
0,101,5,1,42.3333
0,101,5,1,43.4878
0,101,5,1,42.0127
0,101,5,1,42.7027
0,101,5,0,43.2566
0,101,5,1,42.3869
0,101,5,1,43.3395
0,101,5,1,42.6854
0,101,5,1,40.8540
0,101,5,1,43.1343
0,101,5,1,41.8729
0,101,5,0,41.8679
0,101,5,1,42.1809
0,101,5,1,43.0803
0,101,5,1,41.8125
0,101,5,1,42.1182
0,101,5,1,42.1670
0,101,5,1,41.5082
0,101,5,1,41.6022
0,101,5,1,41.4226
0,101,5,1,43.7507
0,101,5,1,42.7677
0,101,5,1,44.0721
0,101,5,1,42.2798
0,101,5,1,42.1522
0,101,5,1,41.9211
0,101,5,1,41.7322
0,101,5,1,42.4130
0,101,5,1,42.7347
0,101,5,1,42.8690
0,101,5,1,42.7621
0,101,5,1,41.8359
0,101,5,1,41.0473
0,101,5,1,41.2060
0,101,5,1,43.0636
0,101,5,1,43.2977
0,101,5,1,42.3545
0,101,5,1,42.0324
0,101,5,1,43.8920
0,101,5,1,42.3394
0,101,5,1,43.5677
0,101,5,1,42.3639
0,101,5,1,41.9385
0,101,5,1,42.7085
0,101,5,1,42.4776
0,101,6,1,42.2889
0,101,6,1,43.1755
0,101,6,1,42.7504
0,101,6,1,42.4996
0,101,6,1,42.7547
0,101,6,1,42.8191
0,101,6,1,41.5199
0,101,6,1,42.1544
0,101,6,0,41.7873
0,101,6,1,42.2632
0,101,6,1,43.3186
0,101,6,1,42.0006
0,101,6,1,42.0449
0,101,6,1,42.3626
0,101,6,1,42.2855
0,101,6,0,41.5377
0,101,6,1,42.1493
0,101,6,1,43.0729
0,101,6,1,42.1322
0,101,6,1,40.8419
0,101,6,1,43.5814
0,101,6,1,41.9643
0,101,6,1,42.2960
0,101,6,1,42.7137
0,101,6,1,41.2590
0,101,6,1,42.3329
0,101,6,1,42.5111
0,101,6,1,42.0685
0,101,6,1,41.4618
0,101,6,1,42.2377
0,101,6,1,41.4592
0,101,6,1,41.2203
0,101,6,1,41.4213
0,101,6,1,42.4470
0,101,6,1,43.5966
0,101,6,1,43.3789
0,101,6,1,42.3479
0,101,6,1,43.0702
0,101,6,1,41.9730
0,101,6,1,42.3518
0,101,6,1,41.4979
0,101,6,1,42.6700
0,101,6,1,41.8802
0,101,6,1,41.4629
0,101,6,1,43.5877
0,101,6,1,42.1686
0,101,6,1,42.1834
0,101,6,1,42.2472
0,101,6,1,41.7136
0,101,6,1,42.1793
0,101,7,1,44.0833
0,101,7,1,43.1977
0,101,7,1,43.2718
0,101,7,1,44.2286
0,101,7,1,44.0839
0,101,7,1,43.9523
0,101,7,1,44.5812
0,101,7,1,43.6119
0,101,7,1,43.7347
0,101,7,1,43.6199
0,101,7,1,43.3103
