(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:57:23.129, 	1, 	1, 	21.5396, 	17.3083, 	0, 	-1.249e-14, 	1.824, 	(-1.32137,0.0731706);(1.20543,-0.985205);(0.384393,0.826544);(-0.802076,0.0197364);
18:57:23.152, 	1, 	2, 	18.4556, 	23.8647, 	1, 	-1.249e-14, 	2.128, 	(-0.23405,0.7524);
18:57:23.171, 	1, 	2, 	21.4208, 	24.8984, 	1, 	-1.249e-14, 	2.128, 	(0.548086,-0.345692);
18:57:23.189, 	1, 	1, 	22.3973, 	16.9844, 	0, 	-1.249e-14, 	1.824, 	(-0.958788,-1.00504);(1.74494,0.214876);(-0.435891,1.08558);(-0.765501,-0.716089);
18:57:23.212, 	1, 	2, 	21.0135, 	25.5785, 	1, 	-1.249e-14, 	2.128, 	(0.420841,-0.139827);
18:57:23.229, 	1, 	1, 	22.131, 	15.3445, 	0, 	-1.249e-14, 	1.824, 	(0.0570362,1.44781);(-1.16937,-1.50758);(1.55011,-0.654554);(0.0895026,1.49755);
18:57:23.249, 	1, 	1, 	23.3829, 	16.8601, 	0, 	-1.249e-14, 	1.52, 	(-0.705263,-1.2677);(1.75992,0.715396);(-0.814873,1.1529);(-0.74152,-1.05746);
18:57:23.272, 	1, 	2, 	23.4937, 	25.2988, 	1, 	-1.249e-14, 	1.824, 	(0.505756,0.193843);
18:57:23.289, 	1, 	1, 	22.7412, 	17.7872, 	0, 	-1.249e-14, 	1.52, 	(-1.22313,-0.435892);(1.49635,-0.644412);(0.230364,0.819875);(-0.790268,-0.0890469);
18:57:23.310, 	1, 	1, 	21.8249, 	17.9427, 	0, 	-1.249e-14, 	1.216, 	(-0.91406,-0.700876);(1.40562,-0.220785);(0.0329432,0.527468);(-0.479426,-0.188616);
18:57:23.333, 	1, 	2, 	23.0937, 	25.3048, 	1, 	-1.249e-14, 	1.52, 	(-0.0194914,-0.612511);
18:57:23.350, 	1, 	1, 	21.8503, 	15.749, 	0, 	-1.249e-14, 	1.216, 	(1.12252,-0.732101);(-0.742743,1.58975);(-1.62173,-1.20534);(1.37668,-1.11149);
18:57:23.370, 	1, 	1, 	22.4273, 	16.0953, 	0, 	-1.249e-14, 	0.912, 	(0.72617,-1.20688);(0.330214,2.00358);(-1.77219,-0.0955481);(0.476786,-1.5286);
18:57:23.393, 	1, 	2, 	23.5983, 	25.2165, 	1, 	-1.249e-14, 	1.216, 	(-0.529173,-0.436576);
18:57:23.410, 	1, 	1, 	20.4069, 	14.8381, 	0, 	-1.249e-14, 	0.912, 	(1.18804,0.00053478);(-1.41174,0.863361);(-0.665287,-1.93054);(1.77296,-0.257048);
18:57:23.433, 	1, 	1, 	23.9492, 	16.1637, 	0, 	-1.249e-14, 	0.912, 	(0.839137,-1.1574);(0.347801,1.82318);(-1.06159,0.0284454);(0.222131,-0.960461);
18:57:23.453, 	1, 	2, 	22.5655, 	25.2708, 	1, 	-1.249e-14, 	1.216, 	(0.395827,-0.0582952);
18:57:23.470, 	1, 	1, 	24.043, 	17.8383, 	0, 	-1.249e-14, 	0.912, 	(1.20545,0.0132688);(-0.953281,1.05904);(-0.437743,-0.375499);(0.487628,-0.2645);
18:57:23.491, 	1, 	1, 	23.4976, 	16.4008, 	0, 	-1.249e-14, 	0.912, 	(1.12039,0.32932);(-1.63863,0.694012);(-0.357574,-1.9711);(1.78071,-0.0450656);
18:57:23.514, 	1, 	2, 	23.2874, 	25.9067, 	1, 	-1.249e-14, 	1.216, 	(-0.0256972,0.497153);
18:57:23.531, 	1, 	1, 	24.0185, 	20.2455, 	0, 	-1.249e-14, 	0.912, 	(-1.33,0.315742);(0.711726,-1.4988);(0.696586,0.41029);(-0.548728,0.568812);
18:57:23.554, 	1, 	2, 	25.8437, 	24.2099, 	1, 	-1.249e-14, 	1.216, 	(0.308493,0.620034);
18:57:23.574, 	1, 	2, 	24.1613, 	26.0061, 	1, 	-1.249e-14, 	1.52, 	(0.602581,-0.0738459);
18:57:23.591, 	1, 	1, 	23.7101, 	15.9918, 	0, 	-1.249e-14, 	1.216, 	(1.84468,-0.944433);(-0.229245,1.446);(-1.02259,-1.46586);(0.592848,-0.964299);
18:57:23.616, 	1, 	2, 	23.6166, 	24.7437, 	1, 	-1.249e-14, 	1.52, 	(-0.572804,0.481443);
18:57:23.635, 	1, 	2, 	24.4453, 	25.6564, 	1, 	-1.249e-14, 	1.824, 	(0.670884,0.0549171);
18:57:23.651, 	1, 	1, 	22.6728, 	21.2902, 	0, 	-1.249e-14, 	1.52, 	(-0.555512,-1.09669);(1.63746,0.632109);(-1.07506,1.74689);(-1.52199,-1.04975);
18:57:23.675, 	1, 	2, 	26.3731, 	24.9236, 	1, 	-1.249e-14, 	1.824, 	(0.799909,-0.132273);
18:57:23.695, 	1, 	2, 	20.06, 	24.9236, 	1, 	-1.249e-14, 	2.128, 	(0.799909,-0.132273);
18:57:23.712, 	1, 	1, 	24.9513, 	19.0924, 	0, 	-1.249e-14, 	1.824, 	(1.54785,-0.493456);(-0.748849,1.86224);(-1.44339,-0.77469);(0.76333,-1.27899);
18:57:23.736, 	1, 	2, 	23.1689, 	26.3499, 	1, 	-1.249e-14, 	2.128, 	(-0.352067,0.769936);
18:57:23.756, 	1, 	2, 	24.8186, 	25.8136, 	1, 	-1.249e-14, 	2.128, 	(-0.723761,-0.393231);
18:57:23.772, 	1, 	1, 	25.6133, 	20.3628, 	0, 	-1.249e-14, 	1.824, 	(0.299772,-1.40334);(1.12331,1.20421);(-0.598172,0.539183);(-0.476629,-0.599304);
18:57:23.798, 	1, 	2, 	25.7171, 	25.6596, 	1, 	-1.249e-14, 	2.128, 	(0.282715,-0.609729);
18:57:23.813, 	1, 	1, 	25.9031, 	15.5073, 	0, 	-1.249e-14, 	1.824, 	(-1.42931,-0.686458);(1.71873,-0.925537);(0.607073,1.25016);(-1.1362,0.526095);
18:57:23.833, 	1, 	1, 	25.0041, 	18.9856, 	0, 	-1.249e-14, 	1.52, 	(-1.41123,-0.307387);(1.54859,-1.18342);(1.08063,1.69261);(-1.49067,0.995565);
18:57:23.857, 	1, 	2, 	19.6514, 	25.1242, 	1, 	-1.249e-14, 	1.824, 	(0.699295,-0.495004);
18:57:23.873, 	1, 	1, 	24.8994, 	22.0042, 	0, 	-1.249e-14, 	1.52, 	(-1.10569,-0.681451);(1.2457,-0.698442);(0.295055,0.407312);(-0.427189,0.229065);
18:57:23.893, 	1, 	1, 	25.643, 	22.0509, 	0, 	-1.249e-14, 	1.216, 	(-1.44476,-0.877867);(1.78156,-0.791991);(0.590509,1.26381);(-1.18176,0.531157);
18:57:23.917, 	1, 	2, 	25.6139, 	25.8797, 	1, 	-1.249e-14, 	1.52, 	(0.668209,-0.480875);
18:57:23.933, 	1, 	1, 	25.1074, 	22.1175, 	0, 	-1.249e-14, 	1.216, 	(-0.39804,1.43023);(-1.11855,-1.17199);(0.520939,-0.577306);(0.518265,0.496123);
