(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
17:07:25.405, 	0, 	2, 	19.7118, 	8.53544, 	0, 	80, 	-7.10543e-17, 	(0.00342955,0.0281808);
17:07:25.425, 	0, 	2, 	13.5048, 	12.2736, 	0, 	80, 	-7.10543e-17, 	(-0.0546523,-0.0321377);
17:07:25.443, 	1, 	1, 	13.4184, 	12.4918, 	0, 	76, 	-7.10543e-17, 	(0.18325,0.415847);(0.289808,-0.353744);(-0.397921,0.412499);(-0.310467,-0.276052);
17:07:25.472, 	1, 	1, 	16.4719, 	15.6608, 	0, 	72, 	-7.10543e-17, 	(-0.025471,-0.26765);(-0.0554251,0.736149);(0.134818,-0.349683);(-0.00944672,0.301958);
17:07:25.486, 	1, 	2, 	14.1119, 	14.1876, 	1, 	68, 	0.304, 	(0.049697,0.0188395);
17:07:25.506, 	1, 	2, 	15.6946, 	14.4548, 	1, 	64, 	0.608, 	(-0.106085,-0.023687);
17:07:25.526, 	0, 	2, 	16.5302, 	11.5949, 	1, 	64, 	0.608, 	(0.0813908,0.0106209);
17:07:25.547, 	1, 	2, 	15.6256, 	19.3814, 	1, 	64, 	0.912, 	(-0.217357,-0.109358);
17:07:25.564, 	1, 	1, 	15.5868, 	10.1183, 	0, 	60, 	0.912, 	(-0.0554467,0.348274);(-0.171296,-0.702818);(-0.233003,0.283543);(-0.255455,-0.203748);
17:07:25.587, 	1, 	2, 	12.5159, 	11.2457, 	1, 	56, 	1.216, 	(-0.047608,-0.0562634);
17:07:25.607, 	0, 	2, 	15.1413, 	9.98216, 	1, 	56, 	1.216, 	(0.0119436,0.0412572);
17:07:25.628, 	0, 	2, 	16.7637, 	11.89, 	0, 	56, 	1.216, 	(0.0402218,-0.0842469);
17:07:25.644, 	1, 	1, 	17.0874, 	15.3879, 	0, 	56, 	1.216, 	(0.0538454,0.196189);(0.554937,-0.353384);(-0.119794,-0.0297787);(0.00833211,-0.302313);
17:07:25.664, 	1, 	1, 	15.3242, 	12.4528, 	0, 	52, 	1.216, 	(0.000841687,-0.284563);(0.477448,0.200565);(0.0559877,-0.303624);(0.085209,-0.105037);
17:07:25.688, 	0, 	2, 	14.9445, 	15.3353, 	0, 	52, 	1.216, 	(-0.0733237,-0.121771);
17:07:25.707, 	1, 	2, 	19.9973, 	17.8805, 	1, 	48, 	0.912, 	(-0.0759668,-0.109852);
17:07:25.724, 	1, 	1, 	20.2213, 	18.0928, 	0, 	44, 	0.912, 	(0.263902,0.104144);(0.434489,-0.371646);(0.201862,0.128588);(-0.0986785,-0.677121);
17:07:25.748, 	1, 	2, 	16.1863, 	15.9105, 	1, 	40, 	0.912, 	(-0.119456,-0.0472508);
17:07:25.768, 	0, 	2, 	20.4133, 	14.8042, 	1, 	40, 	0.912, 	(-0.0681646,0.0212673);
