2, 	-68.3862, 	-68.3862, 	23.8354, 	1, 	1.52
2, 	-68.3862, 	-68.3862, 	23.8354, 	1, 	1.52
1, 	-68.3862, 	-68.3862, 	14.4405, 	1, 	1.216
1, 	-68.3862, 	-68.3862, 	14.4405, 	1, 	1.216
1, 	-68.3862, 	-68.3862, 	14.4405, 	1, 	1.216
1, 	-68.3862, 	-68.3862, 	14.4405, 	1, 	1.216
1, 	-68.3862, 	-68.3862, 	14.4405, 	1, 	1.216
1, 	-68.3862, 	-68.3862, 	14.4405, 	1, 	1.216
1, 	-68.3862, 	-68.3862, 	14.4405, 	1, 	1.216
1, 	-68.3862, 	-68.3862, 	14.4405, 	1, 	1.216
1, 	-68.3862, 	-68.3862, 	14.4405, 	1, 	1.216
1, 	-68.3862, 	-68.3862, 	14.4405, 	1, 	1.216
1, 	-68.3862, 	-68.3862, 	14.4405, 	1, 	1.216
1, 	-68.3862, 	-68.3862, 	14.4405, 	1, 	1.216
1, 	-68.3862, 	-68.3862, 	14.4405, 	1, 	1.216
1, 	-68.3862, 	-68.3862, 	14.4405, 	1, 	1.216
2, 	-66.0729, 	-66.0729, 	24.514, 	1, 	1.52
2, 	-66.0729, 	-66.0729, 	24.514, 	1, 	1.52
2, 	-66.0729, 	-66.0729, 	24.514, 	1, 	1.52
2, 	-66.0729, 	-66.0729, 	24.514, 	1, 	1.52
2, 	-66.0729, 	-66.0729, 	24.514, 	1, 	1.52
2, 	-66.0729, 	-66.0729, 	24.514, 	1, 	1.52
2, 	-66.0729, 	-66.0729, 	24.514, 	1, 	1.52
2, 	-66.0729, 	-66.0729, 	24.514, 	1, 	1.52
2, 	-66.0729, 	-66.0729, 	24.514, 	1, 	1.52
2, 	-66.0729, 	-66.0729, 	24.514, 	1, 	1.52
2, 	-66.0729, 	-66.0729, 	24.514, 	1, 	1.52
2, 	-66.0729, 	-66.0729, 	24.514, 	1, 	1.52
2, 	-66.0729, 	-66.0729, 	24.514, 	1, 	1.52
2, 	-66.0729, 	-66.0729, 	24.514, 	1, 	1.52
1, 	-66.0729, 	-66.0729, 	13.007, 	1, 	1.216
1, 	-66.0729, 	-66.0729, 	13.007, 	1, 	1.216
1, 	-66.0729, 	-66.0729, 	13.007, 	1, 	1.216
1, 	-66.0729, 	-66.0729, 	13.007, 	1, 	1.216
1, 	-66.0729, 	-66.0729, 	13.007, 	1, 	1.216
2, 	-66.0729, 	-66.0729, 	23.7709, 	1, 	1.52
2, 	-66.0729, 	-66.0729, 	23.7709, 	1, 	1.52
2, 	-66.0729, 	-66.0729, 	23.7709, 	1, 	1.52
2, 	-66.0729, 	-66.0729, 	23.7709, 	1, 	1.52
2, 	-66.0729, 	-66.0729, 	23.7709, 	1, 	1.52
2, 	-66.0729, 	-66.0729, 	23.7709, 	1, 	1.52
2, 	-66.0729, 	-66.0729, 	23.7709, 	1, 	1.52
2, 	-66.0729, 	-66.0729, 	23.7709, 	1, 	1.52
2, 	-66.0729, 	-66.0729, 	23.7709, 	1, 	1.52
2, 	-66.0729, 	-66.0729, 	23.7709, 	1, 	1.52
2, 	-66.0729, 	-66.0729, 	23.7709, 	1, 	1.52
2, 	-66.0729, 	-66.0729, 	23.7709, 	1, 	1.52
2, 	-66.0729, 	-66.0729, 	23.7709, 	1, 	1.52
2, 	-66.0729, 	-66.0729, 	23.7709, 	1, 	1.52
2, 	-66.0729, 	-66.0729, 	23.7709, 	1, 	1.52
2, 	-66.0729, 	-66.0729, 	23.7709, 	1, 	1.52
2, 	-66.0729, 	-66.0729, 	23.7709, 	1, 	1.52
2, 	-66.0729, 	-66.0729, 	23.7709, 	1, 	1.52
2, 	-66.0729, 	-66.0729, 	22.7083, 	1, 	1.52
2, 	-66.0729, 	-66.0729, 	22.7083, 	1, 	1.52
2, 	-66.0729, 	-66.0729, 	22.7083, 	1, 	1.52
2, 	-66.0729, 	-66.0729, 	22.7083, 	1, 	1.52
2, 	-66.0729, 	-66.0729, 	22.7083, 	1, 	1.52
1, 	-66.0729, 	-66.0729, 	10.9587, 	1, 	1.52
1, 	-66.0729, 	-66.0729, 	10.9587, 	1, 	1.52
1, 	-66.0729, 	-66.0729, 	10.9587, 	1, 	1.52
1, 	-66.0729, 	-66.0729, 	10.9587, 	1, 	1.52
1, 	-66.0729, 	-66.0729, 	10.9587, 	1, 	1.52
1, 	-66.0729, 	-66.0729, 	10.9587, 	1, 	1.52
1, 	-66.0729, 	-66.0729, 	10.9587, 	1, 	1.52
1, 	-66.0729, 	-66.0729, 	10.9587, 	1, 	1.52
1, 	-66.0729, 	-66.0729, 	10.9587, 	1, 	1.52
1, 	-68.3862, 	-68.3862, 	15.7712, 	1, 	1.52
1, 	-68.3862, 	-68.3862, 	15.7712, 	1, 	1.52
1, 	-68.3862, 	-68.3862, 	15.7712, 	1, 	1.52
1, 	-68.3862, 	-68.3862, 	15.7712, 	1, 	1.52
1, 	-68.3862, 	-68.3862, 	15.7712, 	1, 	1.52
1, 	-68.3862, 	-68.3862, 	15.7712, 	1, 	1.52
1, 	-68.3862, 	-68.3862, 	15.7712, 	1, 	1.52
1, 	-68.3862, 	-68.3862, 	15.7712, 	1, 	1.52
1, 	-68.3862, 	-68.3862, 	15.7712, 	1, 	1.52
1, 	-68.3862, 	-68.3862, 	15.7712, 	1, 	1.52
1, 	-68.3862, 	-68.3862, 	15.7712, 	1, 	1.52
1, 	-68.3862, 	-68.3862, 	15.7712, 	1, 	1.52
1, 	-68.3862, 	-68.3862, 	15.7712, 	1, 	1.52
1, 	-68.3862, 	-68.3862, 	15.7712, 	1, 	1.52
1, 	-68.3862, 	-68.3862, 	15.7712, 	1, 	1.52
1, 	-68.3862, 	-68.3862, 	15.7712, 	1, 	1.52
1, 	-68.3862, 	-68.3862, 	15.7712, 	1, 	1.52
1, 	-68.3862, 	-68.3862, 	15.7712, 	1, 	1.52
1, 	-68.3862, 	-68.3862, 	15.7712, 	1, 	1.52
1, 	-68.3862, 	-68.3862, 	13.2553, 	0, 	1.52
1, 	-68.3862, 	-68.3862, 	13.2553, 	0, 	1.52
1, 	-68.3862, 	-68.3862, 	13.2553, 	0, 	1.52
1, 	-68.3862, 	-68.3862, 	13.2553, 	0, 	1.52
1, 	-68.3862, 	-68.3862, 	13.2553, 	0, 	1.52
2, 	-68.3862, 	-68.3862, 	23.8695, 	1, 	1.52
2, 	-68.3862, 	-68.3862, 	23.8695, 	1, 	1.52
2, 	-68.3862, 	-68.3862, 	23.8695, 	1, 	1.52
2, 	-68.3862, 	-68.3862, 	23.8695, 	1, 	1.52
1, 	-68.3862, 	-68.3862, 	12.2788, 	1, 	1.216
1, 	-68.3862, 	-68.3862, 	12.2788, 	1, 	1.216
1, 	-68.3862, 	-68.3862, 	12.2788, 	1, 	1.216
1, 	-68.3862, 	-68.3862, 	12.2788, 	1, 	1.216
