19:10:20.262, 	445.153, 	29.3647, 	3.30646, 	-52.098
19:10:20.362, 	433.963, 	27.1338, 	3.30646, 	-52.098
19:10:20.462, 	441.174, 	28.1052, 	3.30646, 	-52.098
19:10:20.562, 	1430.36, 	33.6675, 	3.30646, 	-52.098
19:10:20.662, 	675.739, 	31.6184, 	3.30646, 	-52.098
19:10:20.762, 	734.04, 	30.1021, 	3.30646, 	-52.098
19:10:20.862, 	345.235, 	28.8523, 	3.30646, 	-50.6636
19:10:20.962, 	270.465, 	26.0306, 	3.30646, 	-52.098
19:10:21.062, 	898.882, 	31.5457, 	3.30646, 	-52.098
19:10:21.162, 	756.688, 	30.1758, 	3.30646, 	-50.6636
19:10:21.262, 	261.565, 	25.7961, 	3.30646, 	-52.098
19:10:21.363, 	746.373, 	29.0831, 	3.30646, 	-52.098
19:10:21.463, 	255.444, 	28.0033, 	3.30646, 	-52.098
19:10:21.563, 	114.596, 	23.0802, 	3.30646, 	-52.098
19:10:21.664, 	85.1578, 	19.5871, 	3.30646, 	-53.5801
19:10:21.733, 	204.848, 	26.997, 	3.30646, 	-52.098
19:10:21.783, 	111.215, 	23.4184, 	3.45675, 	-52.098
19:10:21.833, 	278.331, 	25.569, 	3.45675, 	-52.098
19:10:21.883, 	175.274, 	24.9631, 	3.45675, 	-53.5801
19:10:21.933, 	196.304, 	24.5742, 	3.45675, 	-53.5801
19:10:21.984, 	248.472, 	25.8281, 	3.30646, 	-53.5801
19:10:22.034, 	153.155, 	22.7483, 	3.45675, 	-52.098
19:10:22.084, 	139.932, 	22.9506, 	3.45675, 	-53.5801
19:10:22.134, 	83.7796, 	19.7788, 	3.45675, 	-53.5801
19:10:22.234, 	60.2332, 	19.6805, 	3.45675, 	-60.1334
19:10:22.434, 	87.2689, 	21.8283, 	3.45675, 	-55.1161
19:10:22.485, 	34.339, 	18.1188, 	3.60704, 	-50.6636
19:10:22.535, 	82.4741, 	21.5327, 	3.45675, 	-53.5801
19:10:22.585, 	153.689, 	22.1677, 	3.45675, 	-50.6636
19:10:22.635, 	182.826, 	22.4899, 	3.45675, 	-52.098
19:10:22.685, 	129.477, 	21.9458, 	3.45675, 	-50.6636
19:10:22.735, 	127.068, 	23.1194, 	3.45675, 	-52.098
19:10:22.785, 	168.811, 	24.6912, 	3.45675, 	-50.6636
19:10:22.835, 	289.425, 	26.3559, 	3.45675, 	-52.098
19:10:22.886, 	296.74, 	26.1873, 	3.45675, 	-52.098
19:10:22.964, 	292.702, 	24.985, 	3.45675, 	-50.6636
19:10:23.064, 	444.989, 	26.7214, 	3.45675, 	-50.6636
19:10:23.164, 	370.998, 	28.6766, 	3.45675, 	-52.098
19:10:23.264, 	598.712, 	30.259, 	3.45675, 	-52.098
19:10:23.365, 	309.209, 	28.0136, 	3.45675, 	-52.098
19:10:23.465, 	993.995, 	29.6734, 	3.45675, 	-53.5801
19:10:23.565, 	282.787, 	26.7705, 	3.45675, 	-53.5801
19:10:23.665, 	1011.6, 	32.0487, 	3.30646, 	-52.098
19:10:23.765, 	481.53, 	27.5453, 	3.30646, 	-53.5801
19:10:23.865, 	166.574, 	23.7441, 	3.30646, 	-52.098
19:10:23.966, 	255.447, 	25.2214, 	3.30646, 	-52.098
19:10:24.065, 	640.607, 	28.4657, 	3.30646, 	-52.098
19:10:24.165, 	1069.24, 	33.9492, 	3.30646, 	-52.098
19:10:24.265, 	81.122, 	19.1689, 	3.30646, 	-53.5801
19:10:24.366, 	75.7138, 	22.7689, 	3.15616, 	-53.5801
19:10:24.466, 	1595.73, 	32.6675, 	3.30646, 	-52.098
19:10:24.566, 	1256.08, 	32.1077, 	3.30646, 	-52.098
19:10:24.666, 	600.645, 	29.7035, 	3.30646, 	-52.098
19:10:24.766, 	361.749, 	28.8184, 	3.15616, 	-53.5801
19:10:24.866, 	672.057, 	30.7518, 	3.30646, 	-53.5801
19:10:24.940, 	274.566, 	26.0885, 	3.30646, 	-53.5801
19:10:24.991, 	324.723, 	27.6087, 	3.30646, 	-52.098
19:10:25.091, 	1003.57, 	30.8454, 	3.15616, 	-53.5801
19:10:25.141, 	1156.24, 	32.6418, 	3.30646, 	-52.098
19:10:25.191, 	354.104, 	27.445, 	3.30646, 	-52.098
19:10:25.241, 	395.211, 	28.1123, 	3.30646, 	-52.098
19:10:25.291, 	855.839, 	31.978, 	3.15616, 	-53.5801
19:10:25.341, 	466.931, 	27.3801, 	3.15616, 	-52.098
19:10:25.441, 	1021.85, 	30.3819, 	3.30646, 	-53.5801
19:10:25.492, 	801.059, 	32.3623, 	3.30646, 	-52.098
19:10:25.542, 	669.428, 	30.3881, 	3.30646, 	-52.098
19:10:25.592, 	474.195, 	29.7509, 	3.30646, 	-52.098
19:10:25.692, 	449.831, 	25.8804, 	3.30646, 	-52.098
19:10:25.742, 	965.584, 	32.9178, 	3.30646, 	-52.098
19:10:25.792, 	1020.99, 	31.2336, 	3.30646, 	-52.098
19:10:25.842, 	283.786, 	24.2749, 	3.30646, 	-53.5801
19:10:25.943, 	1170.78, 	32.7608, 	3.30646, 	-52.098
19:10:25.993, 	517.126, 	27.6241, 	3.30646, 	-52.098
19:10:26.043, 	373.131, 	26.2802, 	3.30646, 	-52.098
19:10:26.093, 	521.764, 	30.6535, 	3.30646, 	-52.098
19:10:26.167, 	457.531, 	29.4469, 	3.30646, 	-53.5801
19:10:26.267, 	1047.54, 	32.5066, 	3.30646, 	-52.098
19:10:26.367, 	665.62, 	28.2343, 	3.30646, 	-52.098
19:10:26.467, 	424.56, 	28.5308, 	3.30646, 	-52.098
19:10:26.568, 	405.533, 	29.086, 	3.30646, 	-53.5801
19:10:26.668, 	307.355, 	25.731, 	3.15616, 	-53.5801
19:10:26.768, 	867.19, 	32.1617, 	3.30646, 	-52.098
19:10:26.868, 	351.166, 	26.7183, 	3.15616, 	-52.098
